Category,Message
Inspection Services,"944-8 market st. --- tweeted: good morning. i am reporting noise issue from construction from commercial building 944-8 market st that our residential building 942market st, share wall with. their work start exactly at 5am. we are terrorized w this noise for 3-4 months now, starting so early. they do not have posted permit on front door@or their lobby. i asked them for their permit number but they refused to give it to me. pls see photo, we r directly negatively impacted by their noise starting 5 am for many many months. we need help. thank you. (311 sr#12740058)"
Mortgage,"Loan servicing, payments, escrow account"
Code Enforcement Section,Vacant storefront
Money transfers,Fraud or scam
Payday loan,Can't stop charges to bank account
Electrical Inspection Division,Extension cords across vending booth.
Building Inspection Division,Date last observed: 06-jul-20;    time last observed: 10:30;    identity of person performing the work: owner - a. alspaugh;    exact location: main bldg;    building type: residence/dwelling   expired permits; ;    additional information: pw20080813555-expired permit;
Mortgage,"Loan modification,collection,foreclosure"
Prepaid card,Adding money
Debt collection,Communication tactics
Consumer Loan,Taking out the loan or lease
Prepaid card,Fraud or scam
Building Inspection Division,Installing lights that shine into the building across the street (18 10th st). lights appear to be art installation and are on the building itself.
Student loan,Getting a loan
Mortgage,"Loan servicing, payments, escrow account"
Other financial service,Fraud or scam
Code Enforcement Section,Failure to comply with sof story tier iii
Electrical Inspection Division,"Complaint location:  ""terra bravillas"" restaurant. open wiring against walls  and a 2 year old shocked himself, and has a small burn mark.  all wiring in stairwell is exposed .  hazardous wiring goes all the way down stairway into basement of restaurant."
Credit card,Billing disputes
Consumer Loan,Managing the loan or lease
Department of Bldg Inspection,"Complaintant says tenant at 801 vallejo blocks access to garbage cans at rear of his property at 1461 powell st.;door from 801 opens out in such a way that someone could be injured; that owner of vallejo property has built stairs and installed a chimney, which protrude onto his property;installation of windows on his side of bldg.; see  letter."
Mortgage,"Loan modification,collection,foreclosure"
Disabled Access Division,"Entrance ramp without guide guide curbs, too narrow, landing blocked by server cards.  no lowered bar area or access - tables, toilets without pipe wrap, pull handles or signage."
Disabled Access Division,Pls. see attached letter.
Consumer Loan,Taking out the loan or lease
Money transfers,Other transaction issues
Credit card,Late fee
Prepaid card,"Managing, opening, or closing account"
Credit card,Delinquent account
Debt collection,Disclosure verification of debt
Student loan,Dealing with my lender or servicer
Inspection Services,"849 - 851 25th avenue --- there is a very open hole, apxomiately 2x2ft, on the north side of the building. caller's concern is damage from falling particles onto neighboring builidng. the materials coming out of it are like those that go into a wall. also, there is a lot of noise coming from it; sounds like a jet engine while running the washer/dryer. (311 sr#11986033)"
Building Inspection Division,Date last observed: 06-jul-20;    time last observed: 1pm;    identity of person performing the work: i’m not sure as the work has b;    exact location: rear bldg;    building type: residence/dwelling   other building; ;    additional information: owners of 1375 built a outdoor shower and braced it upon the side of my house without my permission. a photo of thiis outdoor shower was posted on the site being used to help show and sell the property;
Department of Bldg Inspection,12 unit apartment.  my unit has only 1 1samp cb while all other units have 4.  i have lived in unit for nine years.  i was told there was a fire and electrial work was done shortly before i arrived.  i want to isntall a dryer.  is one circuit sufficient for my one bedrood apartment?  is my wiring safe?
Building Inspection Division,"Construction company js sullivan is continuing to begin work outside of the permitted construction times. for months they have began before 7am, many times at 5-6am. (311 sr 12032485) 	6 am - 6:15 work begins.
city regulations - construction work can begin after 7:00am (311 sr#12033390)"
Mortgage,Settlement process and costs
Debt collection,Cont'd attempts collect debt not owed
Disabled Access Division,"Shopper aisles are too narrow for wheelchairs to negotiate; counter top at cashier are higher than 34""."
Housing Inspection Services,Leaking skylight
Inspection Services,"Cross is genebern way --- they are doing major demolition and construction. they have had many, at least 6 debris boxes, delivered where there were big chunks of cement and dirt that were being carried out from the back of the house. they were using a jack hammer. construction has been going on for 3-4 weeks. they have a no parking sign permit but no active permit for construction on the dbi website. we are not sure if the no parking permit is legitimate. there is a lot of activity with people coming in and out of the house. they built doors on both sides of the house. the garage door does not appear to be functioning. it looks to be an apartment. they also changed the front easement and possible driveway at the curb. they have been carrying in some really long pipes that extended over the truck into the home. construction hours are from 8am till dark. they have numerous trucks that park on the street. the current debris box s black and looks like it is homemade."
